BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,2219,1891,972,0,0,,,,,,,,5082,POINT (-87.631794 41.854267)
Douglass,3353 W. 13th St.,Chicago,60623,1635,1556,741,0,0,,,,,,,,3932,POINT (-87.709792 41.864527)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,1643,1409,811,0,0,,,,,,,,3863,POINT (-87.703483 41.924806)
Roden,6083 N. Northwest Hwy.,Chicago,60631,101,521,356,0,0,,,,,,,,978,POINT (-87.798265 41.991862)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,,,,,,,,0,POINT (-87.79846800000001 41.921134)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,1069,960,626,0,0,,,,,,,,2655,POINT (-87.785858 41.936833)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,968,893,586,0,0,,,,,,,,2447,POINT (-87.680298 41.912224)
North Pulaski,4300 W. North Ave.,Chicago,60639,936,776,438,0,0,,,,,,,,2150,POINT (-87.733923 41.909856)
McKinley Park,1915 W. 35th St.,Chicago,60609,840,745,467,0,0,,,,,,,,2052,POINT (-87.67345 41.830421)
West Pullman,830 W. 119th St.,Chicago,60643,2450,2211,1331,0,0,,,,,,,,5992,POINT (-87.64332700000001 41.677819)
Beverly,1962 W. 95th St.,Chicago,60643,1089,931,534,0,0,,,,,,,,2554,POINT (-87.672288 41.721148)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,0,0,0,0,0,,,,,,,,0,POINT (-87.725593 41.879302)
Toman,2708 S. Pulaski Rd.,Chicago,60623,1537,1311,845,0,0,,,,,,,,3693,POINT (-87.724477 41.842073)
Austin,5615 W. Race Ave.,Chicago,60644,1999,1912,1073,0,0,,,,,,,,4984,POINT (-87.766942 41.889281)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1083,877,513,0,0,,,,,,,,2473,POINT (-87.70209 41.738313)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,1075,989,619,0,0,,,,,,,,2683,POINT (-87.761964 41.967648)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,682,514,307,0,0,,,,,,,,1503,POINT (-87.738158 41.96815)
South Chicago,9055 S. Houston Ave.,Chicago,60617,2022,1771,992,0,0,,,,,,,,4785,POINT (-87.549849 41.730371)
Clearing,6423 W. 63rd Pl.,Chicago,60638,610,543,349,0,0,,,,,,,,1502,POINT (-87.782282 41.7768)
Merlo,644 W. Belmont Ave.,Chicago,60657,0,0,0,0,0,,,,,,,,0,POINT (-87.646055 41.940054)
Uptown,929 W. Buena Ave.,Chicago,60613,1740,1579,935,0,0,,,,,,,,4254,POINT (-87.654217 41.95846)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1045,1186,713,0,0,,,,,,,,2944,POINT (-87.703231 41.781967)
Harold Washington Library Center,400 S. State Street,Chicago,60605,17282,15455,9918,0,0,,,,,,,,42655,POINT (-87.627695 41.876301)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,841,751,451,0,0,,,,,,,,2043,POINT (-87.703067 41.814848)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,1732,1591,897,0,0,,,,,,,,4220,POINT (-87.74730500000001 41.895019)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1554,1463,882,0,0,,,,,,,,3899,POINT (-87.705179 41.849599)
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,954,811,516,0,0,,,,,,,,2281,POINT (-87.670434 41.940599)
Gage Park,2807 W. 55th St.,Chicago,60632,429,403,261,0,0,,,,,,,,1093,POINT (-87.694138 41.793722)
Northtown,6800 N. Western Ave.,Chicago,60645,2271,2341,1374,0,0,,,,,,,,5986,POINT (-87.690175 42.00536)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,759,700,418,0,0,,,,,,,,1877,POINT (-87.813899 41.94331)
Bezazian,1226 W. Ainslie St.,Chicago,60640,2138,1818,1051,0,0,,,,,,,,5007,POINT (-87.66074 41.971414)
West Loop,122 N. Aberdeen St.,Chicago,60607,544,527,278,0,0,,,,,,,,1349,POINT (-87.654421 41.883595)
Pullman,11001 S. Indiana Ave.,Chicago,60628,1158,1037,613,0,0,,,,,,,,2808,POINT (-87.618295 41.694366)
Jeffery Manor,2401 E. 100th St.,Chicago,60617,1092,934,543,0,0,,,,,,,,2569,POINT (-87.565489 41.713513)
Hall,4801 S. Michigan Ave.,Chicago,60615,1137,1267,804,0,0,,,,,,,,3208,POINT (-87.622776 41.807273)
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,699,719,460,0,0,,,,,,,,1878,POINT (-87.700878 41.692925)
Coleman,731 E. 63rd St.,Chicago,60637,2289,1927,1204,0,0,,,,,,,,5420,POINT (-87.60684900000001 41.780405)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,1174,1073,463,0,0,,,,,,,,2710,POINT (-87.779388 41.953025)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,6890,6733,4216,0,0,,,,,,,,17839,POINT (-87.643122 41.72067400000001)
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,2345,2099,1115,0,0,,,,,,,,,POINT (-87.65393 41.757373)
Chicago Bee,3647 S. State St.,Chicago,60609,773,826,451,0,0,,,,,,,,2050,POINT (-87.626436 41.828152)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,367,911,615,0,0,,,,,,,,1893,POINT (-87.533513 41.70272)
Sherman Park,5440 S. Racine Ave.,Chicago,60609,901,734,414,0,0,,,,,,,,2049,POINT (-87.65487 41.794843)
