BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,3816,4175,7177,0,0,1076,2310,2471,2451,3088,2186,1979,30729,2020
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,10899,11767,7358,0,0,5363,5653,5363,6430,7365,6105,6099,72402,2020
Humboldt Park,1605 N. Troy St.,Chicago,60647,4846,4760,6954,0,0,947,2441,3156,3432,4809,3148,2786,37279,2020
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,29483,27624,14313,0,0,9709,14281,14330,14172,15367,12640,13600,165519,2020
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7216,6828,3628,0,0,309,0,0,0,0,140,1954,20075,2020
North Austin,5724 W. North Ave.,Chicago,60639,3864,3893,1597,0,0,594,1260,1528,1448,1403,1192,1128,17907,2020
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,10069,9802,8101,0,0,3299,5719,6141,5455,5560,5100,5095,64341,2020
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,11563,11031,13002,0,0,4139,5547,5466,4993,6030,4960,5009,71740,2020
West Lawn,4020 W. 63rd St.,Chicago,60629,4880,4682,3255,0,0,538,891,1288,1391,1548,1055,1041,20569,2020
Archer Heights,5055 S. Archer Ave.,Chicago,60632,6620,5803,4045,0,0,2697,3767,3754,3737,3999,3198,3229,40849,2020
Hegewisch,3048 E. 130th St.,Chicago,60633,3017,2785,2064,0,0,1378,1832,1857,1698,1998,961,1332,18922,2020
Independence,4024 N. Elston Ave.,Chicago,60618,5491,5189,2275,0,0,1965,2776,2622,2865,2998,2025,1716,29922,2020
Lozano,1805 S. Loomis St.,Chicago,60608,10498,9411,6806,0,0,1945,3316,3001,3204,4051,3390,2148,47770,2020
South Shore,2505 E. 73rd St.,Chicago,60649,0,0,0,0,0,0,389,1086,1097,1262,894,387,5115,2020
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,19325,14701,10222,0,0,1884,3375,4147,4159,4854,3129,3176,68972,2020
Douglass,3353 W. 13th St.,Chicago,60623,0,0,0,0,0,388,1230,756,568,919,663,512,5036,2020
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,12501,11545,6711,0,0,4243,6795,8731,7027,0,4890,6146,68589,2020
Roden,6083 N. Northwest Hwy.,Chicago,60631,736,3742,5078,0,0,2337,3306,1621,2654,3238,2448,2791,27951,2020
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,1591,1375,634,0,0,0,0,0,0,0,0,0,3600,2020
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,7252,5970,3967,0,0,542,832,873,851,835,620,595,22337,2020
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,10699,9981,5663,0,0,2034,3654,4991,4948,5154,4552,4813,56489,2020
North Pulaski,4300 W. North Ave.,Chicago,60639,3209,2994,2029,0,0,444,1013,2274,2178,2259,1795,1567,19762,2020
McKinley Park,1915 W. 35th St.,Chicago,60609,6531,5301,3513,0,0,3604,4401,4118,4015,3820,2851,610,38764,2020
West Town,1625 W. Chicago Ave.,Chicago,60622,9179,8264,5392,0,0,3076,3349,1767,5587,6650,4183,3107,50554,2020
Beverly,1962 W. 95th St.,Chicago,60643,2881,2843,1537,0,0,1119,1360,2003,1442,1753,1348,1136,17422,2020
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,0,0,0,0,0,0,0,0,0,0,0,108,108,2020
Toman,2708 S. Pulaski Rd.,Chicago,60623,4196,4295,3589,0,0,1121,2017,1956,1780,2010,1526,1267,23757,2020
Austin,5615 W. Race Ave.,Chicago,60644,9335,9562,5390,0,0,1838,3614,4584,4122,3932,3152,2923,48452,2020
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,5270,4718,2997,0,0,2835,3551,2569,2661,3458,2832,2452,33343,2020
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,3412,2898,2123,0,0,696,1393,1833,1751,1971,1530,1348,18955,2020
South Chicago,9055 S. Houston Ave.,Chicago,60617,6489,6023,3457,0,0,2055,2827,3213,3161,3210,2064,0,32499,2020
Clearing,6423 W. 63rd Pl.,Chicago,60638,4334,4137,3327,0,0,3125,3251,3085,2800,2300,2035,1894,30288,2020
Merlo,644 W. Belmont Ave.,Chicago,60657,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Uptown,929 W. Buena Ave.,Chicago,60613,10289,10115,6286,0,0,3292,4855,4682,4650,5061,3941,4365,57536,2020
