BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,714,592,701,657,634,,,,,,,,3298,POINT (-87.67089302999995 41.94032398100006)
Gage Park,2807 W. 55th St.,Chicago,60632,314,370,376,326,371,,,,,,,,1757,POINT (-87.69417703499994 41.793441019000056)
Northtown,6800 N. Western Ave.,Chicago,60645,1567,1399,1826,1671,1684,,,,,,,,8147,POINT (-87.69042596599996 42.00547500600004)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,733,707,849,710,770,,,,,,,,3769,POINT (-87.81379976199997 41.943288933000076)
Bezazian,1226 W. Ainslie St.,Chicago,60640,1240,1119,1457,1388,1436,,,,,,,,6640,POINT (-87.66075201699994 41.97158198400007)
West Loop,122 N. Aberdeen St.,Chicago,60607,481,439,391,326,370,,,,,,,,2007,POINT (-87.65475702799995 41.883784985000034)
Pullman,11001 S. Indiana Ave.,Chicago,60628,932,908,978,904,892,,,,,,,,4614,POINT (-87.61795896499996 41.69437199400005)
Jeffery Manor,2401 E. 100th St.,Chicago,60617,667,735,795,779,822,,,,,,,,3798,POINT (-87.56553200399998 41.71323701800003)
Hall,4801 S. Michigan Ave.,Chicago,60615,614,565,809,785,734,,,,,,,,3507,POINT (-87.62227597999998 41.807196015000045)
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,524,108,344,592,621,,,,,,,,2189,POINT (-87.70122101899995 41.693149997000035)
Coleman,731 E. 63rd St.,Chicago,60637,1274,1319,1362,1365,1471,,,,,,,,6791,POINT (-87.60683500599998 41.78013499900004)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,610,542,770,675,758,,,,,,,,3355,POINT (-87.77955501699995 41.953195986000026)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,2873,2960,3390,3440,3282,,,,,,,,15945,POINT (-87.64280401499997 41.72086698100003)
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,936,1024,1185,1179,1248,,,,,,,,5572,POINT (-87.65437699299997 41.75737498900003)
Chicago Bee,3647 S. State St.,Chicago,60609,643,622,662,631,607,,,,,,,,3165,POINT (-87.62622997499994 41.82817399100003)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,762,743,780,859,823,,,,,,,,3967,POINT (-87.53353098799994 41.702956991000065)
Sherman Park,5440 S. Racine Ave.,Chicago,60609,650,608,742,748,769,,,,,,,,3517,POINT (-87.65514603199995 41.79484800500006)
